"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
0,0.288907460041852,0,0.288907460041852,0,0.380842425758754,0.288907460041852,0,0.380842425758754,0.288907460041852,0,0.380842425758754,0.288907460041852,0,0.010346436612088,0.380842425758754,0.992380024606818,0.288907460041852,0,0.010346436612088,0.380842425758754,0.992380024606818,0.288907460041852,0,0.010346436612088,0.380842425758754,0.992380024606818,0.288907460041852,0,0.010346436612088,0.380842425758754,0.992380024606818,0.288907460041852,0,0.010346436612088,0.380842425758754,0.992380024606818,0.288907460041852
0,0,0.602593831484646,0.602593831484646,0,0,0,0.132867083635976,0.132867083635976,0.132867083635976,0.602593831484646,0.602593831484646,0.602593831484646,0,0,0,0,0,0.000341965284193604,0.000341965284193604,0.000341965284193604,0.000341965284193604,0.000341965284193604,0.132867083635976,0.132867083635976,0.132867083635976,0.132867083635976,0.132867083635976,0.852873310538789,0.852873310538789,0.852873310538789,0.852873310538789,0.852873310538789,0.602593831484646,0.602593831484646,0.602593831484646,0.602593831484646,0.602593831484646
0,0.0368339491531819,0,0.0368339491531819,0,0.172095901995837,0.0368339491531819,0,0.172095901995837,0.0368339491531819,0,0.172095901995837,0.0368339491531819,0,0.00740287075126162,0.172095901995837,0.259480353158915,0.0368339491531819,0,0.00740287075126162,0.172095901995837,0.259480353158915,0.0368339491531819,0,0.00740287075126162,0.172095901995837,0.259480353158915,0.0368339491531819,0,0.00740287075126162,0.172095901995837,0.259480353158915,0.0368339491531819,0,0.00740287075126162,0.172095901995837,0.259480353158915,0.0368339491531819
1.57033439312143e-05,1.57033439312143e-05,0.0219978960111551,0.0219978960111551,1.57033439312143e-05,1.57033439312143e-05,1.57033439312143e-05,0.388334855225113,0.388334855225113,0.388334855225113,0.0219978960111551,0.0219978960111551,0.0219978960111551,1.57033439312143e-05,1.57033439312143e-05,1.57033439312143e-05,1.57033439312143e-05,1.57033439312143e-05,0.0472776238338547,0.0472776238338547,0.0472776238338547,0.0472776238338547,0.0472776238338547,0.388334855225113,0.388334855225113,0.388334855225113,0.388334855225113,0.388334855225113,0.315797502391371,0.315797502391371,0.315797502391371,0.315797502391371,0.315797502391371,0.0219978960111551,0.0219978960111551,0.0219978960111551,0.0219978960111551,0.0219978960111551
0,0.156398357252202,0,0.156398357252202,0,0.165698756561222,0.156398357252202,0,0.165698756561222,0.156398357252202,0,0.165698756561222,0.156398357252202,0,0.00241787191426365,0.165698756561222,0.485181105558354,0.156398357252202,0,0.00241787191426365,0.165698756561222,0.485181105558354,0.156398357252202,0,0.00241787191426365,0.165698756561222,0.485181105558354,0.156398357252202,0,0.00241787191426365,0.165698756561222,0.485181105558354,0.156398357252202,0,0.00241787191426365,0.165698756561222,0.485181105558354,0.156398357252202
5.0559578543341e-05,5.0559578543341e-05,0.0257864408955957,0.0257864408955957,5.0559578543341e-05,5.0559578543341e-05,5.0559578543341e-05,0.490338515340017,0.490338515340017,0.490338515340017,0.0257864408955957,0.0257864408955957,0.0257864408955957,5.0559578543341e-05,5.0559578543341e-05,5.0559578543341e-05,5.0559578543341e-05,5.0559578543341e-05,0.0661354721172674,0.0661354721172674,0.0661354721172674,0.0661354721172674,0.0661354721172674,0.490338515340017,0.490338515340017,0.490338515340017,0.490338515340017,0.490338515340017,0.377871818943164,0.377871818943164,0.377871818943164,0.377871818943164,0.377871818943164,0.0257864408955957,0.0257864408955957,0.0257864408955957,0.0257864408955957,0.0257864408955957
0.123971403662559,0,0.123971403662559,0,0.123971403662559,0.291972018558006,0,0.123971403662559,0.291972018558006,0,0.123971403662559,0.291972018558006,0,0.123971403662559,0.572679878694492,0.291972018558006,0.0105014431623898,0,0.123971403662559,0.572679878694492,0.291972018558006,0.0105014431623898,0,0.123971403662559,0.572679878694492,0.291972018558006,0.0105014431623898,0,0.123971403662559,0.572679878694492,0.291972018558006,0.0105014431623898,0,0.123971403662559,0.572679878694492,0.291972018558006,0.0105014431623898,0
0.0922598330312448,0.0922598330312448,0,0,0.0922598330312448,0.0922598330312448,0.0922598330312448,0.247844311588028,0.247844311588028,0.247844311588028,0,0,0,0.0922598330312448,0.0922598330312448,0.0922598330312448,0.0922598330312448,0.0922598330312448,0.461552389091256,0.461552389091256,0.461552389091256,0.461552389091256,0.461552389091256,0.247844311588028,0.247844311588028,0.247844311588028,0.247844311588028,0.247844311588028,0.00901103627827253,0.00901103627827253,0.00901103627827253,0.00901103627827253,0.00901103627827253,0,0,0,0,0
1.21783253885011e-08,5.9973687373514e-05,1.21783253885011e-08,5.9973687373514e-05,1.21783253885011e-08,0.0388478787707104,5.9973687373514e-05,1.21783253885011e-08,0.0388478787707104,5.9973687373514e-05,1.21783253885011e-08,0.0388478787707104,5.9973687373514e-05,1.21783253885011e-08,0.00520263597994439,0.0388478787707104,0.0158805678889315,5.9973687373514e-05,1.21783253885011e-08,0.00520263597994439,0.0388478787707104,0.0158805678889315,5.9973687373514e-05,1.21783253885011e-08,0.00520263597994439,0.0388478787707104,0.0158805678889315,5.9973687373514e-05,1.21783253885011e-08,0.00520263597994439,0.0388478787707104,0.0158805678889315,5.9973687373514e-05,1.21783253885011e-08,0.00520263597994439,0.0388478787707104,0.0158805678889315,5.9973687373514e-05
0.0133639782499406,0.0133639782499406,2.00563502530701e-05,2.00563502530701e-05,0.0133639782499406,0.0133639782499406,0.0133639782499406,0.333109038279118,0.333109038279118,0.333109038279118,2.00563502530701e-05,2.00563502530701e-05,2.00563502530701e-05,0.0133639782499406,0.0133639782499406,0.0133639782499406,0.0133639782499406,0.0133639782499406,0.241889761503533,0.241889761503533,0.241889761503533,0.241889761503533,0.241889761503533,0.333109038279118,0.333109038279118,0.333109038279118,0.333109038279118,0.333109038279118,0.0449167486276374,0.0449167486276374,0.0449167486276374,0.0449167486276374,0.0449167486276374,2.00563502530701e-05,2.00563502530701e-05,2.00563502530701e-05,2.00563502530701e-05,2.00563502530701e-05
